symbol,side,type,quantity,limit_price
BTCUSDT,BUY,MARKET,2.38,0
ETHUSDT,SELL,MARKET,10.33,0
ADAUSDT,BUY,MARKET,16.88,0
AVAXUSDT,BUY,MARKET,19.68,0
MATICUSDT,BUY,MARKET,0.41,0
AVAXUSDT,BUY,MARKET,13.41,0
ADAUSDT,SELL,MARKET,10.95,0
DOGEUSDT,SELL,MARKET,18.03,0
AVAXUSDT,BUY,MARKET,13.48,0
DOGEUSDT,BUY,MARKET,18.34,0
XRPUSDT,BUY,MARKET,16.31,0
MATICUSDT,SELL,MARKET,9.44,0
MATICUSDT,SELL,MARKET,8.3,0
XRPUSDT,BUY,MARKET,19.44,0
BNBUSDT,SELL,MARKET,3.79,0
AVAXUSDT,SELL,MARKET,0.46,0
BNBUSDT,SELL,MARKET,4.82,0
SOLUSDT,BUY,MARKET,7.16,0
AVAXUSDT,BUY,MARKET,5.48,0
XRPUSDT,SELL,MARKET,12.13,0
BNBUSDT,SELL,MARKET,4.18,0
ETHUSDT,SELL,MARKET,11.9,0
BNBUSDT,BUY,MARKET,7.69,0
BNBUSDT,SELL,MARKET,3.93,0
MATICUSDT,BUY,MARKET,11.79,0
ADAUSDT,BUY,MARKET,4.22,0
DOGEUSDT,SELL,MARKET,10.58,0
MATICUSDT,BUY,MARKET,19.86,0
ADAUSDT,SELL,MARKET,13.51,0
ADAUSDT,SELL,MARKET,19.93,0
XRPUSDT,BUY,MARKET,17.45,0
BNBUSDT,SELL,MARKET,6.12,0
BNBUSDT,SELL,MARKET,2.02,0
ETHUSDT,BUY,MARKET,7.01,0
BTCUSDT,BUY,MARKET,6.77,0
BNBUSDT,SELL,MARKET,8.63,0
BTCUSDT,BUY,MARKET,18.93,0
ADAUSDT,SELL,MARKET,3.5,0
BNBUSDT,BUY,MARKET,10.21,0
DOGEUSDT,BUY,MARKET,19.3,0
XRPUSDT,SELL,MARKET,10.19,0
DOTUSDT,BUY,MARKET,3.15,0
DOTUSDT,BUY,MARKET,10.53,0
DOGEUSDT,SELL,MARKET,2.9,0
BTCUSDT,SELL,MARKET,19.57,0
BTCUSDT,BUY,MARKET,13.79,0
DOGEUSDT,SELL,MARKET,8.8,0
DOGEUSDT,BUY,MARKET,11.68,0
BTCUSDT,BUY,MARKET,15.17,0
BTCUSDT,SELL,MARKET,9.96,0
AVAXUSDT,BUY,MARKET,9.3,0
BTCUSDT,BUY,MARKET,15.23,0
BTCUSDT,SELL,MARKET,6.71,0
DOTUSDT,SELL,MARKET,15.79,0
ETHUSDT,SELL,MARKET,14.66,0
BTCUSDT,BUY,MARKET,16.45,0
ETHUSDT,BUY,MARKET,0.86,0
ETHUSDT,SELL,MARKET,1.26,0
AVAXUSDT,BUY,MARKET,10.79,0
BNBUSDT,SELL,MARKET,17.91,0
ADAUSDT,BUY,MARKET,14.84,0
DOGEUSDT,SELL,MARKET,8.51,0
XRPUSDT,SELL,MARKET,18.41,0
AVAXUSDT,SELL,MARKET,8.51,0
ADAUSDT,BUY,MARKET,16.43,0
ETHUSDT,BUY,MARKET,13.04,0
BTCUSDT,SELL,MARKET,10.35,0
BTCUSDT,BUY,MARKET,18.02,0
SOLUSDT,SELL,MARKET,0.66,0
BNBUSDT,BUY,MARKET,10.42,0
ADAUSDT,BUY,MARKET,13.33,0
ADAUSDT,SELL,MARKET,10.83,0
SOLUSDT,SELL,MARKET,13.6,0
DOTUSDT,SELL,MARKET,1.2,0
XRPUSDT,SELL,MARKET,10.7,0
ADAUSDT,SELL,MARKET,1.28,0
BTCUSDT,SELL,MARKET,13.78,0
ETHUSDT,BUY,MARKET,17.84,0
XRPUSDT,BUY,MARKET,3.96,0
SOLUSDT,SELL,MARKET,0.95,0
BTCUSDT,BUY,MARKET,5.46,0
ADAUSDT,BUY,MARKET,6.67,0
AVAXUSDT,SELL,MARKET,10.47,0
DOGEUSDT,SELL,MARKET,11.01,0
ETHUSDT,SELL,MARKET,15.36,0
ETHUSDT,BUY,MARKET,6.65,0
DOGEUSDT,BUY,MARKET,1.9,0
BTCUSDT,BUY,MARKET,10.07,0
DOTUSDT,BUY,MARKET,15.99,0
MATICUSDT,BUY,MARKET,8.55,0
ADAUSDT,BUY,MARKET,10.68,0
DOTUSDT,BUY,MARKET,6.67,0
MATICUSDT,BUY,MARKET,19.35,0
ETHUSDT,SELL,MARKET,18.57,0
SOLUSDT,SELL,MARKET,13.2,0
XRPUSDT,BUY,MARKET,14.63,0
DOTUSDT,BUY,MARKET,14.26,0
MATICUSDT,BUY,MARKET,7.2,0
SOLUSDT,BUY,MARKET,3.34,0
AVAXUSDT,BUY,MARKET,3.93,0
BNBUSDT,BUY,MARKET,10.71,0
AVAXUSDT,SELL,MARKET,15.79,0
BNBUSDT,BUY,MARKET,6.8,0
BNBUSDT,SELL,MARKET,14.87,0
ADAUSDT,BUY,MARKET,17.06,0
ETHUSDT,BUY,MARKET,10.85,0
BNBUSDT,BUY,MARKET,1.68,0
SOLUSDT,BUY,MARKET,13.75,0
DOTUSDT,SELL,MARKET,10.07,0
ADAUSDT,SELL,MARKET,7.66,0
SOLUSDT,SELL,MARKET,5.13,0
ETHUSDT,BUY,MARKET,6.88,0
SOLUSDT,BUY,MARKET,17.58,0
XRPUSDT,BUY,MARKET,17.27,0
XRPUSDT,BUY,MARKET,1.09,0
DOGEUSDT,BUY,MARKET,18.02,0
SOLUSDT,SELL,MARKET,11.54,0
ADAUSDT,BUY,MARKET,19.72,0
BTCUSDT,BUY,MARKET,2.77,0
DOTUSDT,BUY,MARKET,6.72,0
DOTUSDT,SELL,MARKET,6.89,0
SOLUSDT,BUY,MARKET,17.56,0
BTCUSDT,BUY,MARKET,12.81,0
SOLUSDT,SELL,MARKET,4.19,0
AVAXUSDT,BUY,MARKET,4.25,0
DOTUSDT,SELL,MARKET,7.82,0
ADAUSDT,BUY,MARKET,19.0,0
DOGEUSDT,SELL,MARKET,9.56,0
BNBUSDT,BUY,MARKET,6.99,0
AVAXUSDT,SELL,MARKET,6.61,0
ETHUSDT,BUY,MARKET,5.28,0
SOLUSDT,SELL,MARKET,15.91,0
AVAXUSDT,SELL,MARKET,6.29,0
ADAUSDT,SELL,MARKET,3.77,0
BNBUSDT,BUY,MARKET,18.1,0
XRPUSDT,SELL,MARKET,0.67,0
MATICUSDT,BUY,MARKET,12.07,0
MATICUSDT,BUY,MARKET,2.57,0
DOTUSDT,SELL,MARKET,18.43,0
BNBUSDT,SELL,MARKET,5.68,0
AVAXUSDT,SELL,MARKET,1.04,0
ETHUSDT,BUY,MARKET,16.98,0
AVAXUSDT,BUY,MARKET,19.91,0
AVAXUSDT,SELL,MARKET,8.58,0
ETHUSDT,SELL,MARKET,3.31,0
DOGEUSDT,SELL,MARKET,6.69,0
XRPUSDT,SELL,MARKET,8.64,0
ETHUSDT,SELL,MARKET,7.95,0
SOLUSDT,BUY,MARKET,14.57,0
DOTUSDT,BUY,MARKET,8.64,0
XRPUSDT,BUY,MARKET,12.69,0
XRPUSDT,BUY,MARKET,14.33,0
MATICUSDT,BUY,MARKET,5.94,0
DOGEUSDT,BUY,MARKET,17.92,0
BTCUSDT,SELL,MARKET,9.15,0
XRPUSDT,SELL,MARKET,17.23,0
SOLUSDT,SELL,MARKET,11.83,0
MATICUSDT,BUY,MARKET,12.78,0
ETHUSDT,SELL,MARKET,12.84,0
SOLUSDT,BUY,MARKET,7.65,0
DOGEUSDT,SELL,MARKET,4.11,0
BNBUSDT,BUY,MARKET,9.69,0
ETHUSDT,BUY,MARKET,12.29,0
BTCUSDT,SELL,MARKET,17.08,0
ETHUSDT,BUY,MARKET,11.48,0
AVAXUSDT,BUY,MARKET,15.1,0
ETHUSDT,SELL,MARKET,12.34,0
DOGEUSDT,SELL,MARKET,19.34,0
BNBUSDT,SELL,MARKET,9.63,0
BTCUSDT,SELL,MARKET,5.29,0
DOTUSDT,BUY,MARKET,16.81,0
ADAUSDT,SELL,MARKET,5.83,0
MATICUSDT,SELL,MARKET,18.93,0
DOGEUSDT,SELL,MARKET,6.37,0
AVAXUSDT,SELL,MARKET,3.3,0
MATICUSDT,SELL,MARKET,19.19,0
ADAUSDT,BUY,MARKET,10.27,0
ETHUSDT,SELL,MARKET,17.1,0
MATICUSDT,BUY,MARKET,1.95,0
SOLUSDT,BUY,MARKET,17.51,0
BNBUSDT,BUY,MARKET,4.25,0
ETHUSDT,SELL,MARKET,8.4,0
ETHUSDT,SELL,MARKET,5.47,0
SOLUSDT,BUY,MARKET,4.79,0
AVAXUSDT,BUY,MARKET,11.71,0
BTCUSDT,BUY,MARKET,19.98,0
SOLUSDT,SELL,MARKET,13.68,0
AVAXUSDT,BUY,MARKET,17.97,0
AVAXUSDT,SELL,MARKET,9.34,0
AVAXUSDT,SELL,MARKET,12.42,0
MATICUSDT,BUY,MARKET,18.04,0
ETHUSDT,SELL,MARKET,15.87,0
XRPUSDT,SELL,MARKET,0.42,0
SOLUSDT,BUY,MARKET,11.73,0
XRPUSDT,BUY,MARKET,9.78,0
AVAXUSDT,SELL,MARKET,16.51,0
MATICUSDT,SELL,MARKET,2.02,0
MATICUSDT,SELL,MARKET,12.34,0
BNBUSDT,SELL,MARKET,19.14,0
DOGEUSDT,BUY,MARKET,17.61,0
BTCUSDT,SELL,MARKET,15.23,0
SOLUSDT,BUY,MARKET,13.86,0
ADAUSDT,BUY,MARKET,7.76,0
BTCUSDT,BUY,MARKET,13.02,0
AVAXUSDT,BUY,MARKET,8.87,0
SOLUSDT,BUY,MARKET,2.55,0
ADAUSDT,SELL,MARKET,5.57,0
BNBUSDT,SELL,MARKET,5.49,0
ADAUSDT,SELL,MARKET,7.75,0
BNBUSDT,SELL,MARKET,6.98,0
MATICUSDT,SELL,MARKET,13.54,0
DOTUSDT,SELL,MARKET,4.32,0
BNBUSDT,SELL,MARKET,7.32,0
AVAXUSDT,BUY,MARKET,0.2,0
ETHUSDT,BUY,MARKET,18.05,0
BNBUSDT,BUY,MARKET,11.91,0
DOGEUSDT,SELL,MARKET,6.26,0
MATICUSDT,BUY,MARKET,10.52,0
